Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\application\common\interpreter\tactic_client_lib,2,3364,213,1,21,59,1,3092,11881,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\application\flash,6,693,475,0,46,218,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\application\houdini,8,1677,1153,0,254,524,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\application\maya,11,2224,1575,2,313,649,1,0,10,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\application\perforce,2,288,198,7,42,90,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\application\xsi,6,1534,1174,10,294,360,1,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\biz,42,18752,13209,227,2152,4924,5,619,1757,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\checkin,12,3227,2248,23,281,979,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\command,21,8065,5879,37,901,2186,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\common,21,6118,4496,53,742,1622,12,0,19,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\deprecated,37,6071,4309,16,444,1762,5,0,15,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\deprecated\flash,37,6071,4309,16,444,1762,5,0,15,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\deprecated\flash\command,3,371,240,2,28,131,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\deprecated\flash\site,9,1366,927,1,70,439,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\deprecated\flash\widget,15,2767,2005,10,176,762,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod,107,35272,25391,293,3312,9881,3,0,4,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\biz,17,3132,2204,12,427,928,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\checkin,7,2354,1697,17,237,657,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\command,4,270,193,0,26,77,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\load,4,2048,1476,2,199,572,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\queue,6,504,358,5,34,146,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\render,6,1403,896,11,89,507,1,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\service,7,6469,4843,91,686,1626,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\site,15,3233,2233,4,159,1000,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\web,39,15767,11426,151,1454,4341,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\search,63,31144,22799,1357,2514,7548,6,797,2124,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\search\upgrade,41,12778,9816,1156,295,2962,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\search\upgrade\mysql,3,211,145,1,17,66,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\search\upgrade\oracle,3,178,121,0,14,57,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\search\upgrade\postgresql,1,126,88,0,12,38,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\search\upgrade\project,13,7743,5802,976,33,1941,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\search\upgrade\schema2,4,2510,2262,174,17,248,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\search\upgrade\sqlite,5,447,307,0,26,140,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\search\upgrade\sqlserver,3,293,204,1,24,89,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\security,10,3938,2844,24,444,1094,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\unittest,5,287,211,1,16,76,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\web,29,8307,5947,86,1008,2360,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget,42,30862,23072,502,3380,7783,6,7,52,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic,298,164683,121046,22066,12880,42028,35,1609,7864,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\active_directory,8,2182,1699,53,245,483,5,0,9,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\command,20,7703,5418,65,782,2285,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\startup,2,137,101,0,14,36,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\triggers,3,171,110,5,10,61,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui,261,154408,113658,21943,11829,39141,29,1609,7854,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\activator,2,256,197,14,25,59,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\app,34,20317,14946,2291,1243,5283,3,88,371,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\cgapp,14,4827,3651,131,418,1175,0,1,9,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\chart,8,2996,2100,422,250,834,0,62,206,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\checkin,9,4681,3375,956,283,1246,6,60,269,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\common,6,1294,937,11,149,357,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\container,12,7113,5197,1671,594,1741,4,175,957,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\examples,15,2089,1527,281,80,559,0,3,23,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\filter,5,4669,3538,187,571,1127,0,4,22,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\input,12,3344,2487,498,320,822,1,35,222,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\manager,6,4870,3703,399,418,1153,1,14,93,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\panel,31,29432,21857,4379,2459,7146,5,429,2261,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\popups,4,591,434,123,21,157,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\protocol,1,14,12,0,0,2,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\report,4,613,425,6,55,188,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\startup,14,9174,6749,920,463,2382,1,43,142,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\sync,7,2362,1627,134,174,735,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\table,27,13605,10123,1775,1346,3328,2,154,704,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\tools,17,20661,14967,4320,1247,5385,6,309,1414,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\ui\widget,32,21486,15795,3425,1713,5459,0,232,1161,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic\utility,2,52,37,0,0,15,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic_sites,24,1148,857,26,34,291,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic_sites\default,14,857,654,26,29,203,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic_sites\default\context,11,376,263,0,10,113,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic_sites\default\modules,2,469,380,26,19,89,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic_sites\template,9,278,192,0,5,86,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic_sites\template\context,6,186,130,0,5,56,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\tactic_sites\template\modules,3,92,62,0,0,30,0,0,0,0,0
