File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_core.py,612,482,7,39,130,2,0,5,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_dynamicobjectmapping.py,303,236,6,30,67,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_encoding.py,346,298,7,10,48,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_etags.py,88,71,3,4,17,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_http.py,183,154,2,19,29,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_httpauth.py,161,128,7,18,33,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_httplib.py,33,26,0,1,7,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_json.py,78,61,6,9,17,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_logging.py,154,115,2,5,39,3,0,5,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_mime.py,106,51,1,2,17,2,38,89,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_misc_tools.py,205,156,8,9,40,9,9,30,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_objectmapping.py,395,296,9,28,99,5,0,9,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_proxy.py,136,106,3,10,30,5,0,6,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_refleaks.py,124,96,2,18,28,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_request_obj.py,729,580,16,54,135,8,14,46,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_routes.py,70,49,3,4,21,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_session.py,468,388,7,35,80,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_sessionauthenticate.py,70,47,1,4,23,0,0,0,0,0
